"","screen_name","text","lang","name","location","description","account_lang","place_name","place_full_name","place_type","country","country_code","user_id","status_id","created_at","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","ext_media_type","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","status_url","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","profile_banner_url","profile_background_url","profile_image_url"
"41","SunToLo_","حياتي جا رنگريز مليا چار پل ھُئا،
سي سونھن ۾ سجدا ڪري کپائي وڃو پيا
اسان پنڌ پنهنجو پڄائي وڃون پيا
اوهان ساڻ ناتو نڀائي وڃو پيا.......","sd","#Sofi_صوفي","London, England","‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏☣Sindhi ☣Sufi ☣Sensitive ☣Sociologist ☣Secular
آواز اٹھاتے رہو اس سے پہلے کے آپ خود اٹھا لیئے جائو","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","bbcburmese","မေတ္တာ - အမေရိကန်မှာ မွေးဖွားကြီးပြင်းသူ မြန်မာ လူငယ်တွေ ပါဝင်တဲ့ ဟောလိဝုဒ် မြန်မာ ရုပ်ရှင် https://t.co/0l1yfbMADg","my","BBC News မြန်မာ","London","BBC Burmese.
If you can't see this page, please try a different browser, and check that you have the correct font installed (see our website).","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","bbcsinhala","#SriLankaattacks: Who are the victims?
#SriLanka #LKA
“ඔහු මියගිය බව මේ වනතෙක් බිරිඳට දන්වා නැහැ”
https://t.co/ubZabfPwqW","si","BBC News Sinhala","London","මෙම වෙබ් අඩවිය කියවීමට අපහසු නම් කරුණාකර ෆයර්ෆොක්ස් හෝ ගූගල් ක්‍රෝම් වෙබ් බ්‍රව්සරය බාගත කරන්න","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","agumi_k","@suitingtseng 第一個學期比較不會控管預算，生活上多了額外的開銷，從今年開始慢慢調整生活費從100降到70，真的好困難啊！幾乎每餐都要自煮才活得下去。如果要生活的平衡，在倫敦感覺一週120才能活得比較自在舒服😢","zh","黑眼,圈［倫敦攻略中］","London, England","Journalism Student / 論文地獄中，廢推連發","zh-tw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","hautepop","@metaleptic ឥឡូវនេះអ្នកនៅអូផុកយើងគួរតែទទួលកាហ្វេហើយទៅចិញ្ចឹមទា","km","Jay Owens","London","I think & write about dust 🌪, media📱, & technology📱 - all ultimately lenses on late capitalism 🚮. Research Director @pulsarplatform 📈.","en-gb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Latinradiouk","DJ Snake ft Selena Gomez, Ozuna Y Cardi B - Taki Taki","sl","Latin Radio UK","London, England","Latin Radio is your 100% Latin music radio station based in the UK - We play 100% Latin 24/7 Salsa, Merengue, Bachata to Reggeaton, Cumbia and much more!","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","malla_saeed","ئێوە ناتوانن بە پارە لە چەند ژمارەیەک زیاتر ھاورێ بگرن
بەڵام بە ھەلسوکەوتی باش و میھرەبان دەتوانن دوونیایەک
شەیدای خۆتان بکەن....🌹🌹

ئیمامی عومەر","ckb","saeed malla","London, England","I’m happy in life","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","mschfhiddlestan","@AllyBrooke GAROTA VSJAGSIGWKQVEIGSIAGAIGAIG MEU DEUS","lv","Thais VAI na ccxp","221b Baker Street","an angel will die covered in white, closed eyed and hoping for a better life
❤22/02/17❤","pt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ForeverBeautyUK","Septynios paslaptys apie paauglius https://t.co/msywsXYUTY","lt","Forever Beauty","United Kingdom - London","Forever Living Products was founded in 1978 on little more than dreams and hard work. It was designed to help anyone who wanted a better future to attain i","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","thisisphillip","@COPA90 @raphaelvarane @ChampionsLeague @FIFAWorldCup Kroos (2014) &amp; .. 🤷🏻‍♂️","et","▪️phil aizlewood.","London, England","▪️|| Actor 🎭| Host ⚓️ | SON | Little Brother | UNCLE | football, acting & aLL tHinGs BAsiC AF.🤪⚽️🎬| represented by @AKAgentsLondon — #MUFC #PMA — 🔴🤙🏻♓️ ||","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","kristelpalad","@nikkisalcs Yasss oh kailan na inom natin","tl","Kristel 💄","Baker Street","2000s R&B Personified 🌈","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","bin_aadhanu","ރައްޔުތުންގެ މަޖުލިހައް ކުރިމަތިލާ މީހުންނާއި، މިނިސްޓަރުންނާއި ރައީސް އަދި ނައިބު ރައީސް ޟަރުތަކައް ފުރަތަމަ ޑިގުރީ އޮތުން. އެންމެ މަދުވެގެން މެނޭޖުމަންޓް މަޤާމެއްގައި  07 އަހަރު އުޅުން ކަނޑައެޅުން ކިހިނެއްވާނެތޯއެވެ.","dv","Latin❓🎈","London, England","""Indeed, with hardship [will be] ease"" 94:06","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Tt_weeter","@konasimaking ఎందుకు రాడు , వస్తాడు వాడు అసలు 210 కి డిసైడ్ అయ్యి వచ్చి ఉంటాడు. మీరు 10/- ఎక్కువే ఇచ్చారు","te","kio📶","Hillingdon, London","Incognito till may 23rd","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","HealerTwins","And he’s gone... adios 🥀
RIP grandpa ♥️

შარშან ვნების კვირას ერთი ბაბუა წავიდა, წელს მეორე.. ეჰ https://t.co/fyjY4nRGqN","ka","Healer Twins Music","London, England","Georgian medic twins duo, residing in London.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","nepalbritain","बिहान उठ्ने बित्तिकै नगर्नुस् यी ५ काम
https://t.co/4TkyVaHV7Tबिहान्तिकै नगर्नुस् यी ५ कामNews Portal of Global Nepali","ne","nepalbritain.com","London","News Portal of Global Nepali","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","preettandi","ਜਣੇ-ਖਣੇ ਨਾਲ #ਯਾਰੀਆਂ ਜੋ ਲਾਉਣ ਲੱਗ ਜੇ 🔫🔫 
ਯਾਰ 💓 ਚੋਂ #ਪੁਰਾਣੇ ਜੋ ਭੁਲਾਉਣ ਲੱਗ ਜੇ 😌😌 
ਨਿੱਤ ਨਵਿਆਂ ਦੀ #ਯਾਰੀ ਜਿਹੜਾ ਰਹੇ ਲੋੜਦਾ 👎👊 
ਪ੍ਰੀਤ #ਟਾਂਡੀ ਇਹੋ ਜਿਹੇ #ਬੰਦਿਆ ਨੂੰ ਹੱਥ ਜੋੜਦਾ🙏","pa","Chef Preet Tandi","london, UK","Preet Tandi is a multi talented chef with a wealth of experience in luxury and Michelin Dining .","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","TheBillStack","lmao
#Splatoon2 #NintendoSwitch #endgame https://t.co/xvuG8NwmOm","ht","𝗱𝗮𝗿𝗸𝘀𝗽𝗼𝗼𝗻","London","For opinions so pointless they're not even wrong.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","AbdullahMiakhil","@ShaharzadAkbar ډیر ډیر دې مبارک وي","ps","Abdullah Miakhil","London, England","Journalist/Writer/Advisor to Minister/President of #Afghan society @uniWestLondon / Political and Social activist. RTs not endorsements.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","twiroy","ההדלפה אגב נוגעת לאישור המסתמן של חברה סינית לספק תשתיות לתקשורת סלולרית 5G","iw","roy Touitou روي تويتو","London, England","Israeli born, tech sales professional, love Israel and therefor hate Bibi. **my posts represent my own opinions only, and don’t represent my employer’s**","he",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","InfoUyghur","بىر ھەپتىلىك پىلانىم: خالمۇرات قېرىندىشىمىزنى چاققان چايانلارنى كۆزدىن يوقىتىش. — feeling angry","ug","Uyghurinfo","London, England","We are tiny, we are weak, but if we unite, we can become strong enough to defeat any dictators whose rules are against humanity.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","flowerovlove","@x_safx Corbyn 😂😂😂","cy","JOYCE","London, UK","wowza. i love to thrift |singer |𝙑𝙞𝙣𝙩𝙖𝙜𝙚 𝙦𝙪𝙚𝙚𝙣","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chrtucci","j’adore le gymnase https://t.co/nKFI9UR9mG","fr","Christian Tucci","Brooklyn, NY","Maude Night writer at @ucbtny • Contributor to @TheSecondCity @McSweeneys @TheOnion • Operations at @CarnegieHall","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","bedini_i","@revrrlewis I mean like it's like worse than like that WholeFoodsCost thing that Germany had.","en","I. M. Bedini","New York, NY","“Oh cara mia, you make a big mistake. I am no man, I am Bedini!”","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","khaled39348345","مجلس نواب سيؤن احد مسرحيات التحالف واللعب ع الحبلين حرب اليمن لعبة شطرنج تمسك خيوطها السعودية من حوثي اخواني أمم متحدة انفصال تجويع ترحيل تأخير معارك من يثق ف الحوثي والإصلاحي والسعودية كأنما يثق ف ابليس كلهم أدوات للتحالف لتقسيم الوطن افهم ي فيهم","ar","khaled","New York, NY","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","JoelGal79861721","@sreeanusha3 Mmmmm q rico mi amor","es","JoelGalindo","","","es","Staten Island","Staten Island, NY","city","United States","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Carpediem041703","Ist der SPD Bürgermeister der wegen schwerer Untreue von der Staatsanwaltschaft angeklagt ist,auch leider für einen großen Teil der SPD eine repräsentative Person?Ich denke schon.Das Rot-Grüne sozialistische und Deutschenfeindliche Milieu ist nicht mit den Deutschen kompatibel. https://t.co/riph4Bjjd8","de","CarpeDiem","New York, USA","AfD Wähler,💙✝️✡️🇩🇪Pro Vaterland, gegen Parteien Diktatur, Gegen Gewalt egal von welcher Seite, Folgen bedeutet nicht Zustimmung , Ich folge auch andersdenkenden","de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","illMac54","@robrousseau @JoeBiden Brutality","it","Leo Charles M.","Jersey City, NJ","Author of the Chronicles of Mayhem 
#FantasyLives!
#StarWars, #LotR, #HDM, #ASoIaF, Fantasy/Sci-Fi reader and writer Leftist shitpost fliterer","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Oohbell","Que porra é essaaaa","pt","brightness™","Manhattan, NY","","pt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","KEspionageve","저 볼은ㅋㅋㅋㅋㅋㅋㅋ 조코알 사진을 참고하신 게 틀림없다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이렇게 팬아트에서 사생발 유출사진의 냄새를 맡아...","ko","“My Love” unnamed","New York","Hillary Clinton, Anna Wintour, and Unnamed #힐윈언","ko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CadBane_","Müzikten kafan ağrıdığında sesi arttırmayı dene sesin net duyulmaması da kafa ağrısı yapıyor beyni çok yoruyor farkı göreceksin.","tr","Bane","New York, USA","HEYOOOOOOO ananı skwym :D","tr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","u_zorig","@zulaani Хаха","ru","Zorig.U 😊","New York, USA","#Хайр #Попхон #Бариант #МонголМөрөөдөлКлуб","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","regopotswek","@motheomoremi_1 Is waar","nl","Horacek","brooklyn","Practising Attorney ; email.horacek@couzyn.co.za, lives in Midrand and Born ko Hebron village.","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","javellanaveyan","may gusto na naman manligaw wewz","tl","angela","fairview","gig is lyf","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","XuCRbgCUrOUtTGK","出售产品：四件套（身份证    银行卡    手机号    网银U盾)
qq2379663727    微信langzhu147
 #加拿大 #加拿大居民 #地震 #大地 #大地震 #手机 #温哥华 #警报 #警报系统 https://t.co/NCrVe0wMpZ","zh","部分","New York, NY","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","XuCRbgCUrOUtTGK","出售产品：四件套（身份证    银行卡    手机号    网银U盾)
qq2379663727    微信langzhu147
 #加拿大 #加拿大居民 #地震 #大地 #大地震 #手机 #温哥华 #警报 #警报系统 https://t.co/NCrVe0wMpZ","zh","部分","New York, NY","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Snc_ibn_NNC","@kapsology @HemadriRavi @kafkaaz Gaye ki Kripa vigyaan maane na maane par BJPee ki kripa aap logo hai , yeh saara zamana maanta hai","hi","𝓓𝓻 𝓢 𝓝 𝓒𝓱𝓪𝓾𝓱𝓪𝓷","New York, NY","Family first. Son, father, husband & brother. Semper Fidelis. Words have consequences. Doctor by education &Options trader for the love of it. Hate Margin Calls","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","MustafaSKarim","Klopp👊🏽😂 https://t.co/vRasZjR8Cj","sv","Mustafa Karim","Manhattan, NY","You're not a star until they can spell your name in Karachi - Humphrey Bogart","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cemmyy","FREE BIRD - lynyrd skynyrd https://t.co/WzfBLLM0pN","fi","Emily Egan","New York, NY","i'm always thinking about my dog","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","oski5588","dgasgasg","da","MichealOski5588","Staten Island, NY","","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","DsayoriD","@dramaturgizm Przez przypadek zasnęłam i się budzę i pierwsze co widzę to że idziemy do szkoły co to za bezsens halo","pl","🍌🐟 | Vikvaniv","New York, USA","|Fate somehow brings me hope
inside my heart | 

🍌🐟","pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
